X,Y,FID,Referencia,Año,Longitud,Latitud,Municipio,Departamen,Zona_Carbo,Manto,Espesor,Cenizas__,SO3_bs___e,C_Fijo_Cal,S_bs___en,C_Fijo_he_,Cenizas_he,S_he___en,C_Fijo_lmm,Materia_Vo,Poder_Calo,Poder_Ca_1,Poder_Ca_2,CLASIFICAC
-8106536.175879,645691.160429228,1,15820804A01,2017,-72.8222534806,5.79046018489,Topaga,Boyacá,Boyacá,"1,20-1,40","1,4",15.18,0.28,48.17,2.62,46.68,15.07,2.55,58.23,41.77,12275.76,11930.81,14338.11,Bituminoso Alto en Volátiles A
-8106455.05183407,645568.581251967,2,15820804A02,2017,-72.8215247309,5.78936465492,Topaga,Boyacá,Boyacá,Vetagrande,"2,2",7.54,1.1,51.39,0.95,49.38,7.41,0.92,55.55,44.45,13516.03,13130.83,14302.43,Bituminoso Alto en Volátiles A
-8110339.09192038,642147.974082739,3,15820804A03,2017,-72.8564156566,5.75879272131,Topaga,Boyacá,Boyacá,Manto-5,,8.46,0.44,52.24,0.95,49.76,8.33,0.91,57.58,42.42,13355.74,12777.44,14067.23,Bituminoso Alto en Volátiles A
-8110339.09192038,642147.974082739,4,15820804A04,2017,-72.8564156566,5.75879272131,Topaga,Boyacá,Boyacá,Manto-6,n.d.,23.76,2.56,40.28,1.03,37.76,22.85,0.99,52.99,47.01,10842.66,10430.64,13881.97,Bituminoso Alto en Volátiles B
-8145095.70243695,642592.599720528,5,15516803A05,2017,-73.1686396012,5.76276668957,Paipa,Boyacá,Boyacá,La Siscuda,"1,8",3.45,0.15,54.24,1.17,51.9,3.41,1.12,56.52,43.48,14199.69,13606.14,14158.27,Bituminoso Alto en Volátiles A
-8145243.41106914,642601.94103506,6,15516803A06,2017,-73.1699664904,5.76285017993,Paipa,Boyacá,Boyacá,Manto Grande,n.d.,13.85,0.31,45.94,1.29,44.03,13.69,1.24,54.35,45.65,12299.99,11823.98,13913.72,Bituminoso Alto en Volátiles B
-8167030.3638164,623910.663258122,7,15476803A07,2017,-73.3656820168,5.59576782629,Motavita,Boyacá,Boyacá,Manto Pequeño,"1,1",10.06,0.38,49.82,1.51,47.93,9.92,1.46,56.09,43.91,13150.33,12699.28,14270.38,Bituminoso Alto en Volátiles A
-8167038.28804896,624004.731916587,8,15476803A08,2017,-73.3657532014,5.5966088319,Motavita,Boyacá,Boyacá,Manto Grande,"2,5",11.1,0.59,48.43,1.34,46.42,10.93,1.29,55.1,44.9,13009.46,12542.42,14263.23,Bituminoso Alto en Volátiles A
-8168328.9952913,620863.977620242,9,15476803A09,2017,-73.3773478219,5.56852877354,Motavita,Boyacá,Boyacá,Manto-1,"1,2",3.81,0.08,60.04,0.91,58.29,3.77,0.89,62.8,37.2,14687.6,14271.94,14907.84,Bituminoso Alto en Volátiles A
-8168328.9952913,620863.977620242,10,15476803A10,2017,-73.3773478219,5.56852877354,Motavita,Boyacá,Boyacá,Manto-2,"0,9",16.59,0.84,49.66,0.72,47.97,16.33,0.7,60.29,39.71,12407.96,12086.59,14701.81,Bituminoso Alto en Volátiles A
-8168634.68700393,621479.24139838,11,15476803A11,2017,-73.3800938972,5.57402967356,Motavita,Boyacá,Boyacá,Manto-1,,14.94,4.79,50.65,1.4,47.05,14.14,1.36,57.46,42.54,12639.95,12331.54,14603.6,Bituminoso Alto en Volátiles A
-8142565.44961122,638783.904815563,12,15516803A12,2017,-73.1459099533,5.72872449474,Paipa,Boyacá,Boyacá,Veta Grande,"2,5",5.49,1.5,52.77,0.86,46.36,5.16,0.77,55.59,44.41,13322.59,11881.09,12597.96,Bituminoso Alto en Volátiles C
-8142662.54706433,639015.711005299,13,15516803A13,2017,-73.1467821946,5.73079644144,Paipa,Boyacá,Boyacá,"1,80 La Limpia","1,8",13.85,3.33,46.22,0.94,39.58,12.74,0.84,53.06,46.94,11839.49,10488.6,12178.53,Bituminoso Alto en Volátiles C
-8142652.49850395,639015.694594904,14,15516803A14,2017,-73.1466919268,5.73079629476,Paipa,Boyacá,Boyacá,La Piedruda,"2,2",11.68,3.37,47.61,1.4,40.79,10.79,1.24,53.2,46.8,12149.6,10771.84,12217.09,Bituminoso Alto en Volátiles C
-8104702.46507923,641092.740580831,15,15464804A15,2017,-72.8057809762,5.74936116013,Mongua,Boyacá,Boyacá,Manto-5,3,8.38,0.2,51.85,1,50.71,8.33,0.98,57.15,42.85,13920.11,13641.71,15024.55,Bituminoso Alto en Volátiles A
-8102661.8745007,649067.141523236,16,15296804A16,2017,-72.7874500392,5.82063158939,Gámeza,Boyacá,Boyacá,Manto-7,1,9.79,0.33,53.5,1.01,52.31,9.75,0.99,59.95,40.05,13359.49,13105.66,14682.7,Bituminoso Alto en Volátiles A
-8103453.38102038,647886.4040404,17,15296804A17,2017,-72.7945602632,5.8100794308,Gámeza,Boyacá,Boyacá,Manto-6,"1,9",7.16,2.93,52.81,0.99,50.16,6.94,0.97,55.68,44.32,13866.49,13569.75,14701.01,Bituminoso Alto en Volátiles A
-8103370.02651466,647863.958919379,18,15296804A18,2017,-72.7938114769,5.80987883859,Gámeza,Boyacá,Boyacá,Manto-1,4,4.79,5.02,56.45,1.91,52.37,4.53,1.87,56.77,43.23,14155.68,13828.69,14600.2,Bituminoso Alto en Volátiles A
-8103370.02651466,647863.958919379,19,15296804A19,2017,-72.7938114769,5.80987883859,Gámeza,Boyacá,Boyacá,Manto-2,"2,2",6.25,0.76,55.47,0.87,53.83,6.18,0.85,59.24,40.76,14143.41,13830.84,14848.03,Bituminoso Alto en Volátiles A
-8103370.02651466,647863.958919379,20,15296804A20,2017,-72.7938114769,5.80987883859,Gámeza,Boyacá,Boyacá,Manto-3,"1,2",3.08,0.76,57.22,1.65,55.5,3.05,1.61,59.06,40.94,14643.15,14312.21,14851.83,Bituminoso Alto en Volátiles A
-8103131.57526376,655958.606722831,21,15790804A21,2017,-72.7916694329,5.88221611141,Tasco,Boyacá,Boyacá,Manto-4,"1,7",4.7,0.23,55.58,0.98,54.11,4.67,0.96,58.65,41.35,14347.6,14001.83,14777.3,Bituminoso Alto en Volátiles A
-8103079.45386572,655897.783415634,22,15790804A22,2017,-72.7912012184,5.88167260297,Tasco,Boyacá,Boyacá,Manto-8,"1,8",10.16,0.43,49.65,1.02,48.42,vsc,1,55.81,44.19,13243.88,12973.7,14597.43,Bituminoso Alto en Volátiles A
-8103316.93681378,655765.799152413,23,15790804A23,2017,-72.793334564,5.88049320851,Tasco,Boyacá,Boyacá,Manto-1,"1,6",12.64,0.2,51.06,0.64,49.88,12.56,0.63,59.28,40.72,13093.98,12817.7,14851.74,Bituminoso Alto en Volátiles A
-8107371.72673129,648212.866360471,24,15215804A24,2017,-72.8297593616,5.81299701883,Corrales,Boyacá,Boyacá,"Manto 2,20","2,2",4.51,2.34,54.6,1.01,51.39,4.37,0.97,56.24,43.76,13981.66,13475.53,14171.74,Bituminoso Alto en Volátiles A
-8106611.9087789,650086.707690812,25,15215804A25,2017,-72.8229338008,5.82974321316,Corrales,Boyacá,Boyacá,Manto-6," 1,30 -1,50",7.22,0.75,49.46,1.45,47.33,7.14,1.4,53.58,46.42,13481.81,12999.16,14126.78,Bituminoso Alto en Volátiles A
